STNID,LAT,LONG,ELV,STN_NAME
CH407,-17.9931,-69.6594,3919,Toncone
CH408,-22.9961,-68.8019,3282,Cupo
CH409,-22.0278,-68.0661,4109,Cebollar
CH410,-18.0542,-69.2017,4425,Represa Lequena
CH412,-17.835,-69.7039,3986,Unjina
CH415,-20.9714,-68.6275,4316,Coyacagua 
CH416,-18.2808,-69.1383,4571,Lagunillas
CH417,-22.3711,-68.0133,4380,Chilcaya
CH418,-19.9333,-68.8369,4026,Guallatire
CH419,-22.2592,-68.1733,3307,Chungara Reten
CH420,-22.2297,-68.0228,4129,Chungara Ajata
CH421,-18.1836,-69.2328,4542,Parinacota
CH424,-19.8553,-68.6017,3938,Alcerreca
CH425,-18.7939,-69.0844,4263,Humapalca
CH426,-17.7719,-69.7244,4080,Villa Industrial
CH427,-17.595,-69.4831,4081,Visviri
PA86011,-19.53333333,-59.48333333,138,Adrian Jara
PA86065,-22.55,-61.55,204,Pratts Gill
